epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.33058,1.99017,9.66512,0.01273,0.00319,0.88352,0.34945,0.12268,1.52677,9.5784,0.00948,0.00048,0.00048,0.00048
2,10.3012,1.51813,7.21034,0.00923,0.00303,0.83956,0.29726,0.12019,1.22282,9.20597,0.00841,0.000960596,0.000960596,0.000960596
3,13.2312,1.53263,6.19137,0.00996,0.50451,0.50549,0.47209,0.18015,1.61858,8.91664,0.01271,0.00142139,0.00142139,0.00142139
4,16.143,1.67841,5.14995,0.01063,0.47482,0.48571,0.45221,0.19644,1.69501,7.13579,0.01161,0.00186239,0.00186239,0.00186239
5,19.1609,1.67094,4.55507,0.01011,0.51718,0.49011,0.49531,0.23109,1.44554,3.81222,0.00946,0.0018416,0.0018416,0.0018416
6,22.0549,1.62152,3.83866,0.00985,0.53873,0.51209,0.53301,0.25851,1.5373,3.17622,0.01139,0.001802,0.001802,0.001802
7,24.9432,1.67351,3.40231,0.0097,0.5507,0.55604,0.56788,0.29425,1.53711,2.55297,0.011,0.0017624,0.0017624,0.0017624
8,27.8568,1.75942,3.00353,0.01118,0.61622,0.63956,0.66084,0.35571,1.47963,2.01823,0.01081,0.0017228,0.0017228,0.0017228
9,30.8942,1.68917,2.68521,0.01087,0.69497,0.66593,0.72416,0.40162,1.52073,1.65831,0.01091,0.0016832,0.0016832,0.0016832
10,33.7752,1.66565,2.47794,0.01096,0.63284,0.6,0.67093,0.28193,1.87949,1.72178,0.01364,0.0016436,0.0016436,0.0016436
11,36.6393,1.65524,2.2457,0.01055,0.6683,0.6952,0.71731,0.33716,1.80617,1.47135,0.01391,0.001604,0.001604,0.001604
12,39.5086,1.65165,1.98576,0.00989,0.8056,0.6102,0.762,0.45506,1.3795,1.18915,0.00907,0.0015644,0.0015644,0.0015644
13,42.3717,1.60766,1.96989,0.00998,0.71423,0.65714,0.72948,0.35304,1.74104,1.51311,0.01346,0.0015248,0.0015248,0.0015248
14,45.343,1.63576,1.9137,0.01078,0.75819,0.71868,0.77581,0.44763,1.49659,1.18906,0.0092,0.0014852,0.0014852,0.0014852
15,48.2162,1.62479,1.80303,0.0096,0.73815,0.66813,0.75766,0.44541,1.47889,1.20501,0.01018,0.0014456,0.0014456,0.0014456
16,51.0828,1.60957,1.63331,0.00998,0.73482,0.72308,0.78448,0.45255,1.5188,1.24391,0.0099,0.001406,0.001406,0.001406
17,53.9328,1.62116,1.6171,0.00963,0.74797,0.76315,0.81372,0.4603,1.43694,1.07282,0.01031,0.0013664,0.0013664,0.0013664
18,56.9221,1.57157,1.55034,0.00942,0.76961,0.78462,0.83477,0.48362,1.5083,0.97565,0.0115,0.0013268,0.0013268,0.0013268
19,59.8329,1.53785,1.45212,0.00924,0.81977,0.76972,0.85691,0.48019,1.5547,0.91133,0.01044,0.0012872,0.0012872,0.0012872
20,62.7286,1.62813,1.4895,0.00974,0.8102,0.73176,0.83397,0.49972,1.44779,0.99569,0.01037,0.0012476,0.0012476,0.0012476
21,65.5932,1.51056,1.38216,0.00937,0.80007,0.7978,0.85795,0.53143,1.31583,0.9108,0.00894,0.001208,0.001208,0.001208
22,68.4747,1.48591,1.35621,0.00926,0.81923,0.81978,0.8637,0.54224,1.34205,0.88579,0.0081,0.0011684,0.0011684,0.0011684
23,71.4752,1.50878,1.32503,0.00913,0.80036,0.80181,0.85274,0.51379,1.37035,0.94198,0.00892,0.0011288,0.0011288,0.0011288
24,74.3436,1.54791,1.27218,0.0092,0.80114,0.80659,0.84702,0.53339,1.34698,0.8789,0.00903,0.0010892,0.0010892,0.0010892
25,77.1797,1.49361,1.25936,0.00903,0.80623,0.7978,0.84758,0.43644,1.71044,0.92706,0.0113,0.0010496,0.0010496,0.0010496
26,80.042,1.45411,1.14388,0.0087,0.79691,0.76484,0.83994,0.45423,1.62512,0.98662,0.00982,0.00101,0.00101,0.00101
27,83.0333,1.49213,1.13405,0.00889,0.83962,0.76264,0.8516,0.52689,1.39857,0.88899,0.00924,0.0009704,0.0009704,0.0009704
28,85.9196,1.40997,1.07513,0.00869,0.80434,0.8041,0.85617,0.53348,1.35172,0.85949,0.00878,0.0009308,0.0009308,0.0009308
29,88.8007,1.47846,1.10033,0.0088,0.83282,0.83207,0.89085,0.54992,1.36787,0.76421,0.009,0.0008912,0.0008912,0.0008912
30,91.6747,1.49799,1.1592,0.00824,0.81112,0.84835,0.8858,0.55798,1.33635,0.79887,0.00898,0.0008516,0.0008516,0.0008516
31,94.5398,1.39759,1.08737,0.00858,0.83326,0.83077,0.88859,0.57937,1.26143,0.7881,0.00821,0.000812,0.000812,0.000812
32,97.5336,1.40706,1.04812,0.00862,0.81899,0.78901,0.86709,0.56103,1.30978,0.83689,0.00859,0.0007724,0.0007724,0.0007724
33,100.395,1.40929,1.01435,0.00812,0.81676,0.83297,0.88291,0.57148,1.26173,0.76491,0.00824,0.0007328,0.0007328,0.0007328
34,103.256,1.37897,1.00005,0.00821,0.85084,0.82198,0.88803,0.57035,1.30036,0.77254,0.00832,0.0006932,0.0006932,0.0006932
35,106.111,1.3778,0.9556,0.00849,0.87292,0.86052,0.90796,0.603,1.29431,0.74027,0.00856,0.0006536,0.0006536,0.0006536
36,109.12,1.39095,1.04016,0.00803,0.91647,0.84615,0.91499,0.60522,1.25478,0.72069,0.00853,0.000614,0.000614,0.000614
37,111.971,1.3374,0.93441,0.00799,0.85262,0.86459,0.91804,0.60524,1.2513,0.70933,0.00791,0.0005744,0.0005744,0.0005744
